scenario,district_name,baseline_yield,delta_yield,projected_yield,pct_change
Baseline (2015–2022),Naogaon,4.307,0.0,4.307,0.0
Baseline (2015–2022),Narail,4.323,0.0,4.323,0.0
Baseline (2015–2022),Narayanganj,4.009,0.0,4.009,0.0
Baseline (2015–2022),Narsingdi,3.845,0.0,3.845,0.0
Baseline (2015–2022),Natore,4.467,0.0,4.467,0.0
Baseline (2015–2022),Nilphamari,4.284,0.0,4.284,0.0
Baseline (2015–2022),Noakhali,4.712,0.0,4.712,0.0
Baseline (2015–2022),Pabna,4.069,0.0,4.069,0.0
Baseline (2015–2022),Panchagarh,4.095,0.0,4.095,0.0
Baseline (2015–2022),Patuakhali,2.654,0.0,2.654,0.0
Baseline (2015–2022),Pirojpur,4.079,0.0,4.079,0.0
Baseline (2015–2022),Rajbari,4.258,0.0,4.258,0.0
Baseline (2015–2022),Rajshahi,4.074,0.0,4.074,0.0
Baseline (2015–2022),Rangamati,4.089,0.0,4.089,0.0
Baseline (2015–2022),Rangpur,4.435,0.0,4.435,0.0
Baseline (2015–2022),Satkhira,3.917,0.0,3.917,0.0
Baseline (2015–2022),Shariatpur,4.372,0.0,4.372,0.0
Baseline (2015–2022),Sherpur,4.209,0.0,4.209,0.0
Baseline (2015–2022),Sirajganj,4.31,0.0,4.31,0.0
Baseline (2015–2022),Sunamganj,3.838,0.0,3.838,0.0
Baseline (2015–2022),Sylhet,3.052,0.0,3.052,0.0
Baseline (2015–2022),Tangail,4.266,0.0,4.266,0.0
Baseline (2015–2022),Thakurgaon,3.937,0.0,3.937,0.0
SSP2-4.5 (2030),Bagerhat,4.428,0.0401,4.468,0.91
SSP2-4.5 (2030),Bandarban,3.675,0.0401,3.715,1.09
SSP2-4.5 (2030),Barguna,3.198,0.0401,3.238,1.25
SSP2-4.5 (2030),Barisal,3.695,0.0401,3.735,1.09
SSP2-4.5 (2030),Bhola,3.792,0.0401,3.832,1.06
SSP2-4.5 (2030),Bogura,3.885,0.0401,3.925,1.03
SSP2-4.5 (2030),Chandpur,3.803,0.0401,3.843,1.05
SSP2-4.5 (2030),Chapai Nawabganj,4.069,0.0401,4.109,0.99
SSP2-4.5 (2030),Chattogram,3.423,0.0401,3.463,1.17
SSP2-4.5 (2030),Chuadanga,3.897,0.0401,3.938,1.03
SSP2-4.5 (2030),Cox's Bazar,3.946,0.0401,3.987,1.02
SSP2-4.5 (2030),Cumilla,3.661,0.0401,3.701,1.1
SSP2-4.5 (2030),Dhaka,4.571,0.0401,4.611,0.88
